0 1 1.02491
0.01 1.02392 1.02587
0.02 1.04187 1.02654
0.03 1.04942 1.02692
0.04 1.04466 1.02701
0.05 1.02867 1.02684
0.06 1.00526 1.0264
0.07 0.980012 1.02571
0.08 0.958962 1.02478
0.09 0.947076 1.0236
0.1 0.947058 1.02219
0.11 0.958679 1.02056
0.12 0.978838 1.01871
0.13 1.00232 1.01665
0.14 1.02307 1.01439
0.15 1.03567 1.01193
0.16 1.0367 1.00928
0.17 1.02551 1.00644
0.18 1.00445 1.00343
0.19 0.978247 1.00025
0.2 0.952866 0.996896
0.21 0.934046 0.993384
0.22 0.925898 0.989716
0.23 0.929894 0.985897
0.24 0.944509 0.981933
0.25 0.965596 0.977828
0.26 0.987398 0.973587
0.27 1.00396 0.969215
0.28 1.01059 0.964716
0.29 1.00499 0.960094
0.3 0.987851 0.955354
0.31 0.962657 0.9505
0.32 0.93484 0.945535
0.33 0.910453 0.940464
0.34 0.894685 0.935289
0.35 0.890591 0.930015
0.36 0.898347 0.924645
0.37 0.915203 0.919183
0.38 0.936158 0.91363
0.39 0.955186 0.907992
0.4 0.966708 0.90227
0.41 0.966962 0.896468
0.42 0.954922 0.890588
0.43 0.932548 0.884632
0.44 0.904309 0.878605
0.45 0.876088 0.872507
0.46 0.853741 0.866342
0.47 0.841664 0.860112
0.48 0.841716 0.853819
0.49 0.852765 0.847465
0.5 0.870965 0.841052
0.51 0.890697 0.834582
0.52 0.905947 0.828058
0.53 0.911775 0.821481
0.54 0.905527 0.814852
0.55 0.887487 0.808174
0.56 0.8608 0.801448
0.57 0.830713 0.794675
0.58 0.803281 0.787858
0.59 0.783889 0.780998
0.6 0.775934 0.774095
0.61 0.779992 0.767152
0.62 0.793677 0.760169
0.63 0.812226 0.753148
0.64 0.829667 0.74609
0.65 0.840277 0.738996
0.66 0.839988 0.731867
0.67 0.827379 0.724704
0.68 0.804027 0.717508
0.69 0.77412 0.710281
0.7 0.743433 0.703022
0.71 0.717911 0.695732
0.72 0.702217 0.688413
0.73 0.698589 0.681066
0.74 0.706292 0.67369
0.75 0.721799 0.666287
0.76 0.739654 0.658857
0.77 0.753809 0.651401
0.78 0.759103 0.643919
0.79 0.752528 0.636413
0.8 0.733962 0.628881
0.81 0.706206 0.621326
0.82 0.67429 0.613747
0.83 0.644248 0.606146
0.84 0.621637 0.598521
0.85 0.610179 0.590874
0.86 0.610849 0.583206
0.87 0.621636 0.575515
0.88 0.638036 0.567804
0.89 0.654156 0.560071
0.9 0.664155 0.552318
0.91 0.663675 0.544545
0.92 0.65091 0.536751
0.93 0.627044 0.528938
0.94 0.595967 0.521105
0.95 0.563318 0.513253
0.96 0.535107 0.505381
0.97 0.516244 0.49749
0.98 0.509335 0.489581
0.99 0.514046 0.481653
1 0.527184 0.473707
1.01 0.543479 0.465742
1.02 0.556877 0.457759
1.03 0.562018 0.449758
1.04 0.555552 0.441739
1.05 0.536956 0.433703
1.06 0.508668 0.425649
1.07 0.475485 0.417577
1.08 0.443389 0.409489
1.09 0.418087 0.401383
1.1 0.403608 0.393259
1.11 0.401324 0.385119
1.12 0.409605 0.376962
1.13 0.424227 0.368789
1.14 0.439403 0.360599
1.15 0.449197 0.352392
1.16 0.448983 0.344169
1.17 0.436575 0.335929
1.18 0.412762 0.327674
1.19 0.381116 0.319403
1.2 0.347117 0.311115
1.21 0.316814 0.302812
1.22 0.29534 0.294494
1.23 0.285658 0.28616
1.24 0.287837 0.27781
1.25 0.299033 0.269446
1.26 0.314185 0.261066
1.27 0.327257 0.252672
1.28 0.332717 0.244263
1.29 0.326884 0.23584
1.3 0.30884 0.227402
1.31 0.280648 0.218951
1.32 0.246848 0.210485
1.33 0.213348 0.202006
1.34 0.185977 0.193513
1.35 0.169056 0.185007
1.36 0.164342 0.176488
1.37 0.1706 0.167956
1.38 0.183902 0.159412
1.39 0.198589 0.150855
1.4 0.208662 0.142287
1.41 0.209243 0.133706
1.42 0.197778 0.125115
1.43 0.174655 0.116512
1.44 0.143115 0.107898
1.45 0.108454 0.0992735
1.46 0.0767312 0.0906389
1.47 0.0532821 0.0819945
1.48 0.0414143 0.0733404
1.49 0.0415974 0.0646772
1.5 0.0513481 0.0560051
1.51 0.0658389 0.0473245
1.52 0.0790799 0.0386359
1.53 0.0853856 0.0299395
1.54 0.0807675 0.0212359
1.55 0.0639104 0.0125254
1.56 0.036495 0.00380834
1.57 0.00278662 -0.0049147
1.58 -0.0314092 -0.0136433
1.59 -0.0601673 -0.0223771
1.6 -0.078894 -0.0311156
1.61 -0.0854507 -0.0398582
1.62 -0.0806782 -0.0486046
1.63 -0.0681899 -0.0573542
1.64 -0.053487 -0.0661065
1.65 -0.0426117 -0.074861
1.66 -0.0406672 -0.0836173
1.67 -0.0505683 -0.0923746
1.68 -0.0723272 -0.101133
1.69 -0.103051 -0.109891
1.7 -0.137648 -0.118648
1.71 -0.170077 -0.127405
1.72 -0.194824 -0.136159
1.73 -0.20825 -0.144912
1.74 -0.209488 -0.153661
1.75 -0.200649 -0.162408
1.76 -0.186307 -0.17115
1.77 -0.172379 -0.179887
1.78 -0.164678 -0.188619
1.79 -0.167484 -0.197345
1.8 -0.182502 -0.206064
1.81 -0.208442 -0.214776
1.82 -0.241333 -0.22348
1.83 -0.275497 -0.232176
1.84 -0.304937 -0.240862
1.85 -0.324809 -0.249538
1.86 -0.332603 -0.258203
1.87 -0.32876 -0.266856
1.88 -0.316563 -0.275498
1.89 -0.301333 -0.284126
1.9 -0.289126 -0.292741
1.91 -0.285252 -0.301342
